state,year,population_millions,pop_density,urban_frac,urban_pct,urban_pop_M,rural_pop_M,water_demand_MLD,pop_growth_pct,pop_index
Punjab,2024,390025.187,50362,0.46699999999999997,46.699999999999996,182141.762329,207883.424671,39140977.641385,108.50864610537445,59508.21724894494
Uttar Pradesh,2005,11182.172,240928,0.18,18.0,2012.79096,9169.38104,913583.4524,,100.0
Uttar Pradesh,2006,32030.616,240928,0.187,18.7,5989.725192,26040.890808,2631475.25748,186.44359968707334,286.44359968707334
Uttar Pradesh,2007,91749.65,240928,0.194,19.400000000000002,17799.432099999998,73950.2179,7579438.5865,186.44360133442325,820.4993627356115
Uttar Pradesh,2008,262811.004,240928,0.201,20.1,52825.01180400001,209985.992196,21830396.04726,186.44360387205842,2350.267944367159
Uttar Pradesh,2009,752805.315,240928,0.208,20.8,156583.50551999998,596221.8094799999,62874299.90879998,186.4436053065723,6732.192234209954
Uttar Pradesh,2010,2156362.681,240928,0.215,21.5,463617.976415,1692744.704585,181080556.136975,186.44360474527204,19283.93411405226
Uttar Pradesh,2011,6176762.994,240928,0.222,22.2,1371241.384668,4805521.609332,521504099.58342,186.44360470640146,55237.596005498744
Uttar Pradesh,2012,516.437,240928,0.229,22.900000000000002,118.26407300000001,398.172927,43837.754745,-99.99163903487147,4.618396139855477
Uttar Pradesh,2013,1334.872,240928,0.23600000000000002,23.6,315.02979200000004,1019.842208,113917.97648,158.47721987386652,11.937501945060406
Uttar Pradesh,2014,3450.337,240928,0.243,24.3,838.431891,2611.905109,296021.662915,158.4769925505966,30.85569601326111
Uttar Pradesh,2015,8918.33,240928,0.25,25.0,2229.5825,6688.7474999999995,769205.9625,158.47707050064966,79.75489913766306
Uttar Pradesh,2016,23051.837,240928,0.257,25.7,5924.322109,17127.514891,1998709.5270849997,158.47705792452174,206.14811684170124
Uttar Pradesh,2017,59583.712,240928,0.264,26.400000000000002,15730.099968,43853.612032,5193316.33792,158.47706627458803,532.8456045927392
Uttar Pradesh,2018,154010.23,240928,0.271,27.1,41736.77233000001,112273.45767,13493606.30145,158.47706500729598,1377.2836797716939
Uttar Pradesh,2019,398081.12,240928,0.278,27.800000000000004,110666.55136000001,287414.56864,35059004.2384,158.47706350415814,3559.962411595887
Uttar Pradesh,2020,1028948.391,240928,0.28500000000000003,28.500000000000004,293250.291435,735698.0995649999,91087656.313275,158.477063921042,9201.686318185768
Uttar Pradesh,2021,2659595.592,240928,0.29200000000000004,29.200000000000003,776601.9128640002,1882993.679136,236650815.77616003,158.4770640843541,23784.24864149827
Uttar Pradesh,2022,6874444.602,240928,0.299,29.9,2055458.935998,4818985.666002001,614815952.97987,158.47706405733882,61476.82759664223
Uttar Pradesh,2023,17768862.576,240928,0.306,30.599999999999998,5437271.948256,12331590.627744,1597243056.95664,158.47706403555074,158903.49903399806
Uttar Pradesh,2024,45928434.304,240928,0.313,31.3,14375599.937152,31552834.366848,4149404397.19488,158.47706406393445,410729.0989979406
